muni_id,type_of_violence,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,year,month
484014120,2,0,0,0,1,1,2007,7
484015011,1,1,0,0,0,1,1997,1
484015016,2,2,0,0,0,2,2009,7
484015020,1,1,0,0,0,1,1996,10
484015024,2,0,0,0,1,1,2008,10
484015059,2,0,0,0,24,24,2008,9
484016006,2,0,0,0,1,1,2006,9
484016006,2,0,0,0,6,6,2009,6
484016006,2,0,0,0,0,0,2010,3
484016034,2,0,0,0,1,1,2007,7
484016050,2,0,0,0,1,1,2008,10
484016057,2,0,0,0,2,2,2005,12
484016057,2,0,1,0,0,1,2006,7
484016086,2,0,0,0,5,5,2006,7
484016086,2,0,1,0,0,1,2007,4
484016099,2,0,1,0,0,1,2006,8
484016099,2,0,0,0,4,4,2009,10
484016099,2,0,0,0,1,1,2009,6
484016108,2,0,0,0,1,1,2007,7
484017004,2,0,0,0,6,6,2009,10
484017004,2,0,0,0,2,2,2010,3
484017007,2,0,0,0,31,31,2010,1
484017007,2,0,0,0,12,12,2010,4
484017007,2,0,0,0,3,3,2010,7
484017007,2,0,0,0,4,4,2010,8
484017012,2,0,0,0,4,4,2010,3
484017017,2,0,0,0,0,0,2010,9
484017018,2,0,0,0,0,0,2010,10
484017024,2,0,0,0,0,0,2010,9
484019006,2,0,0,0,1,1,2007,7
484019006,2,0,0,0,5,5,2010,6
484019009,2,0,0,0,44,44,2006,1
484019009,2,0,0,0,65,65,2007,1
484019009,2,0,0,0,1,1,2007,7
484019009,2,0,0,0,0,0,2010,1
484019009,2,0,0,0,50,50,2010,3
484019009,2,0,0,0,1,1,2010,4
484019013,2,0,0,0,10,10,2007,9
484019013,2,0,0,2,0,2,2009,8
484019018,2,0,0,0,1,1,2007,3
484019019,2,2,0,0,0,2,2009,4
484019019,2,0,0,0,1,1,2010,5
484019021,2,0,0,0,1,1,2007,11
484019026,2,0,0,0,1,1,2007,12
484019026,2,0,0,0,2,2,2010,11
484019026,2,0,0,0,1,1,2010,4
484019026,2,0,0,0,1,1,2010,5
484019039,2,0,0,0,1,1,2007,10
484019039,2,0,0,0,1,1,2007,11
484019039,2,0,0,1,0,1,2007,3
484019039,2,0,0,0,2,2,2007,5
484019039,2,0,0,0,3,3,2007,9
484019039,2,0,0,0,1,1,2009,5
484019039,2,0,0,0,51,51,2010,1
